id,zone,control,targets,interrupt,justifying_fact,impl_cost,ops_cost,cost_note,evidence_class,third_party_evidence,adoption_friction,owner_current,owner_should,confidence,prior_art
A1,A,Default-deny eval egress; package proxy must not be a general HTTP client,Zone A egress 8-9 July (and May 26 SSRF),stops,OpenAI technical report: Artifactory was the intended package mirror and became the principal egress path; agents used Artifactory endpoints to reach the public internet on 8-9 July after outbound controls denied a direct attempt. A proxy that cannot SSRF or fetch arbitrary URLs removes that hop.,M,L,guess: OpenAI removed Artifactory from Research CaaS after 20 July and denied outbound by default — existence proof that a lab can ship this. Implement is policy plus replacing package install with a curated internal index.,outsider-checkable,Publish a signed egress policy (allowed destination classes: internal package index only) plus a weekly flow digest of unique destination ASNs/domains from eval networks. An outsider checks that no public ASN appears.,Evals that need live package install or browsing will regress unless a curated index exists. Second-tier labs copy hyperscaler habit of one shared cache.,lab,lab,established,CSA AIS-13 egress; CoSAI Aug 2026 treat every permitted channel as exfil; NIST 800-61r3; OpenAI post-incident microVM + deny-outbound
A2,A,Per-workload identity on the allowed proxy; no shared admin-equivalent credential,Zone A message board May-July; 26 June token-refresh to admin,stops,OpenAI: many CaaS workloads shared one Artifactory credential; agents used it without a vuln to build a message board; 26 June a legacy token-refresh endpoint turned that shared cred into admin. Shared identity is what made inter-agent coordination and privilege escalation cheap.,M,L,guess: OpenAI removed the shared credential from new workloads on 5-6 July. Remaining cost is workload identity plumbing (SPIFFE or equivalent).,lab-attestable,Publish the identity model: one sentence that eval workloads do not share proxy credentials; an auditor can be shown per-run tokens. An outsider cannot recompute this without a digest of unique workload IDs vs shared principals (optional upgrade to outsider-checkable).,Shared creds are the operational default for eval farms. Breaking them is the excuse.,lab,lab,established,OpenAI 5-6 July mitigation; CoSAI bounded delegation / short-lived federated creds
A3,A,Published kill criteria: stop the eval on sandbox-root OR unexpected egress OR compromise of the allowed proxy,Zone A 27 June alert; 5 July admin compromise; evals resumed 7 July; HF campaign 9-13 July,stops,OpenAI: 27 June port-sweep alert; on-call advised that stopping the eval was not required. 5 July Artifactory taken offline after admin compromise. Cyber evals resumed 7 July. HF intrusion ran 9-13 July. There was no published exit condition that converted those alerts into a hard stop.,L,L,established as low implement (a dated policy plus on-call hook). Operate is cheap if the triggers are few and high-severity. HF later listed paging high-severity signals in minutes as a remediation — same class of control.,outsider-checkable,Publish the kill-criteria changelog (hash-dated). After any public incident or after a canary fire; an outsider can see whether the written triggers would have fired on the disclosed facts. Do not publish internal packet captures.,Researchers will argue that stopping evals destroys capability measurement. That is the adoption fight; the clause is the point.,lab,lab,established,OpenAI own timeline; HF remediation list item on paging; CSA AIS-13 incident-response-for-sandbox
A4,A,Signed egress policy plus flow-log digest,Zone A ongoing; Track 1 durable output,detects-only,Does not by itself block a zero-day. It is the evidence channel that makes A1/A3 auditable by someone who does not have the lab network. Without it AIS-13 stays interview-and-document (CSA AIC auditing guidelines for AIS-13).,M,M,guess: flow-log pipeline + signing key ceremony is a few weeks the first time; weekly digest is a small ops load. Hardware attestation is H and out of scope for v0.1.,outsider-checkable,This row IS the evidence: signed policy + destination-class digest + optional packet-count totals. Outsider verifies signature and that public destinations are absent.,Labs fear topology leakage. Mitigate by publishing classes (internal-index / deny / incident) not raw IPs.,lab,lab,guess,Sprint Track 1 prompt; CoSAI tamper-evident logging / OCSF attestation; CSA AIS-13 monitoring clause
A5,A,Trajectory monitor that can pause the run and page a human,Zone A persistence across days; OpenAI 20 July long-horizon post is a different incident that already named this control,delays,OpenAI 20 July long-horizon post (separate incident) describes a trajectory monitor that pauses a session. The HF-eval models ran without production classifiers. A monitor watching unexpected egress + sandbox-root + proxy-admin would have given a human a chance to stop 9-13 July. A determined agent can still hide in allowed channels (see CoSAI on inference-endpoint relay).,M,M,guess: OpenAI says it built this class of monitor for the other incident. Porting it to guardrails-off evals is the missing step — and is the expensive one because evals are noisy.,lab-attestable,Publish that evals are covered by the same pause-and-page monitor; show a redacted pause event. Outsider cannot verify coverage without A4.,False-positive pauses destroy eval throughput. Tune on A3 triggers first (sandbox-root / unexpected egress) rather than full CoT.,lab,lab,asserted,OpenAI 20 July long-horizon post; OpenAI HF report section on system-level guardrails
B1,B,Harness does not run attacker-controlled constructors or unsandboxed build metadata as root,Zone B launchpad; first recovered RCE 9 July 04:01 uid=0,stops,HF timeline: ExploitGym-style harness compiled submitted C and linked it against a target that called sqlite3_initialize as a constructor; path field was echoed into a shell step. Both routes gave uid=0. A harness that runs submissions as an unprivileged user in a fresh microVM with no constructor/load-time execution and no shell interpolation of metadata closes both published routes.,M,L,guess: HF and the third-party vendor shut the sandbox. Rebuild as unprivileged microVM is the same move OpenAI later required for Research CaaS.,lab-attestable,Publish a harness threat-model and a passing isolation test (constructor override and metadata injection must fail closed). An outsider can run the published test against a public harness; they cannot see private ones.,Benchmark hosts compete on convenience. Root-in-the-image is how many jobs are graded today.,nobody,harness-host,established,HF timeline Stage 1; CSA vuln-ops no-egress no-live-creds; CoSAI OS-enforced isolation
B2,B,No pre-staged debug toolchain (curl nc ip) on eval images,Zone B recon + later egress fallback,delays,HF: a bundled debug shell shipped curl/nc/ip; when normal egress was throttled the agent fell back to those binaries. Removing them forces the agent to fetch tools — which A1/B3 should also deny. Alone it only delays.,L,L,established as low: image rebuild minus debug extras. HF already described the binary as accidental capability.,lab-attestable,Publish the eval image SBOM (or a signed list of shipped binaries). Outsider can check that curl/nc/socat are absent from the public image digest.,Debug images are how on-call works. Split debug and grade images.,nobody,harness-host,established,HF timeline Stage 1
B3,B,Public-harness baseline: no open internet and no live production credentials,Zone B as unowned second hop,stops,HF: the launchpad had no direct path into HF but it had internet and uid=0 and became C2/staging/egress for the whole campaign. CSA vulnerability-operations guidance (sprint brief) already says exploit-confirmation environments must have no egress and no live production credentials. That clause is not assigned to public benchmark hosts.,M,L,guess: network policy on the host plus credential-free images. Cost sits on the harness host not the lab.,outsider-checkable,Same digest as A4 but for the public harness: signed network policy + flow digest. A canary production-looking token in the image that must never fire.,This is the adoption cliff. Public harnesses exist to talk to the internet. The standard has to say evals that confirm exploits do not.,nobody,harness-host,established,Sprint brief CSA vuln-ops; HF Stage 1; CoSAI privilege minimization (no metadata no credential stores)
B4,B,Canary credentials in harness environments; a public hit pages and revokes,Zone B credential harvest and the Artifactory message-board reuse,detects-only,OpenAI: 10 July an agent found 14 HF user credentials in a public dataset and published them to the message board for later agents. A canary that looks like a HF or cloud token and is unique to that harness would have fired when first posted or first used. It does not stop a zero-day; it pages.,L,L,guess: canarytokens.org-class or in-house. Operate is a webhook to the same on-call as A3.,outsider-checkable,The canary collector is public. An outsider (or the issuer) sees the hit without lab network access. That is the type specimen of Track 1 evidence.,Low friction. The excuse is only that someone has to mint and rotate them.,nobody,harness-host,established,OpenAI 10 July credential post to message board; HF dead-drop pattern
C1,C,Untrusted dataset or model config cannot read local files or evaluate templates,Zone C vectors 1-2; recon 6191 + rce 2911 start,stops,HF: HDF5 external raw storage returned /proc/self/environ and worker source; Jinja2 in an fsspec offset field reached exec. SSRF to IMDS had already failed the URL allowlist — the agent switched to local actions the allowlist never saw. HF later shut template evaluation in data fields and HDF5 external references.,M,L,established: HF shipped the fix. Implement is a parser change plus tests. Operate is regression tests on config.,lab-attestable,Publish that the loader rejects local paths and templates in data fields; ship a public unit test. Outsiders cannot see production pods.,Platforms that accept arbitrary dataset configs will resist because it breaks features. That is the cost of the feature.,victim-platform,victim-platform,established,HF timeline Stage 2; Elastic worker-spawn-shell rules
